"","manufacturer","model","displ","year","cyl","trans","drv","cty","hwy","fl","class"
"1","audi","a4",2,2008,4,"manual(m6)","f",20,31,"p","compact"
"2","audi","a4",2,2008,4,"auto(av)","f",21,30,"p","compact"
"3","audi","a4",3.1,2008,6,"auto(av)","f",18,27,"p","compact"
"4","audi","a4 quattro",2,2008,4,"manual(m6)","4",20,28,"p","compact"
"5","audi","a4 quattro",2,2008,4,"auto(s6)","4",19,27,"p","compact"
"6","audi","a4 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","compact"
"7","audi","a4 quattro",3.1,2008,6,"manual(m6)","4",15,25,"p","compact"
"8","audi","a6 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","midsize"
"9","audi","a6 quattro",4.2,2008,8,"auto(s6)","4",16,23,"p","midsize"
"10","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"11","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",11,15,"e","suv"
"12","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"13","chevrolet","c1500 suburban 2wd",6,2008,8,"auto(l4)","r",12,17,"r","suv"
"14","chevrolet","corvette",6.2,2008,8,"manual(m6)","r",16,26,"p","2seater"
"15","chevrolet","corvette",6.2,2008,8,"auto(s6)","r",15,25,"p","2seater"
"16","chevrolet","corvette",7,2008,8,"manual(m6)","r",15,24,"p","2seater"
"17","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",14,19,"r","suv"
"18","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",11,14,"e","suv"
"19","chevrolet","malibu",2.4,2008,4,"auto(l4)","f",22,30,"r","midsize"
"20","chevrolet","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize"
"21","chevrolet","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize"
"22","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan"
"23","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan"
"24","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",11,17,"e","minivan"
"25","dodge","caravan 2wd",3.8,2008,6,"auto(l6)","f",16,23,"r","minivan"
"26","dodge","caravan 2wd",4,2008,6,"auto(l6)","f",16,23,"r","minivan"
"27","dodge","dakota pickup 4wd",3.7,2008,6,"manual(m6)","4",15,19,"r","pickup"
"28","dodge","dakota pickup 4wd",3.7,2008,6,"auto(l4)","4",14,18,"r","pickup"
"29","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup"
"30","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup"
"31","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup"
"32","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv"
"33","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv"
"34","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv"
"35","dodge","durango 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv"
"36","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup"
"37","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup"
"38","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup"
"39","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup"
"40","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup"
"41","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",9,12,"e","pickup"
"42","dodge","ram 1500 pickup 4wd",5.7,2008,8,"auto(l5)","4",13,17,"r","pickup"
"43","ford","expedition 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv"
"44","ford","explorer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv"
"45","ford","explorer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv"
"46","ford","f150 pickup 4wd",4.6,2008,8,"auto(l4)","4",13,17,"r","pickup"
"47","ford","f150 pickup 4wd",5.4,2008,8,"auto(l4)","4",13,17,"r","pickup"
"48","ford","mustang",4,2008,6,"manual(m5)","r",17,26,"r","subcompact"
"49","ford","mustang",4,2008,6,"auto(l5)","r",16,24,"r","subcompact"
"50","ford","mustang",4.6,2008,8,"manual(m5)","r",15,23,"r","subcompact"
"51","ford","mustang",4.6,2008,8,"auto(l5)","r",15,22,"r","subcompact"
"52","ford","mustang",5.4,2008,8,"manual(m6)","r",14,20,"p","subcompact"
"53","honda","civic",1.8,2008,4,"manual(m5)","f",26,34,"r","subcompact"
"54","honda","civic",1.8,2008,4,"auto(l5)","f",25,36,"r","subcompact"
"55","honda","civic",1.8,2008,4,"auto(l5)","f",24,36,"c","subcompact"
"56","honda","civic",2,2008,4,"manual(m6)","f",21,29,"p","subcompact"
"57","hyundai","sonata",2.4,2008,4,"auto(l4)","f",21,30,"r","midsize"
"58","hyundai","sonata",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize"
"59","hyundai","sonata",3.3,2008,6,"auto(l5)","f",19,28,"r","midsize"
"60","hyundai","tiburon",2,2008,4,"manual(m5)","f",20,28,"r","subcompact"
"61","hyundai","tiburon",2,2008,4,"auto(l4)","f",20,27,"r","subcompact"
"62","hyundai","tiburon",2.7,2008,6,"auto(l4)","f",17,24,"r","subcompact"
"63","hyundai","tiburon",2.7,2008,6,"manual(m6)","f",16,24,"r","subcompact"
"64","hyundai","tiburon",2.7,2008,6,"manual(m5)","f",17,24,"r","subcompact"
"65","jeep","grand cherokee 4wd",3,2008,6,"auto(l5)","4",17,22,"d","suv"
"66","jeep","grand cherokee 4wd",3.7,2008,6,"auto(l5)","4",15,19,"r","suv"
"67","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv"
"68","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","suv"
"69","jeep","grand cherokee 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv"
"70","jeep","grand cherokee 4wd",6.1,2008,8,"auto(l5)","4",11,14,"p","suv"
"71","land rover","range rover",4.2,2008,8,"auto(s6)","4",12,18,"r","suv"
"72","land rover","range rover",4.4,2008,8,"auto(s6)","4",12,18,"r","suv"
"73","lincoln","navigator 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv"
"74","mercury","mountaineer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv"
"75","mercury","mountaineer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv"
"76","nissan","altima",2.5,2008,4,"auto(av)","f",23,31,"r","midsize"
"77","nissan","altima",2.5,2008,4,"manual(m6)","f",23,32,"r","midsize"
"78","nissan","altima",3.5,2008,6,"manual(m6)","f",19,27,"p","midsize"
"79","nissan","altima",3.5,2008,6,"auto(av)","f",19,26,"p","midsize"
"80","nissan","maxima",3.5,2008,6,"auto(av)","f",19,25,"p","midsize"
"81","nissan","pathfinder 4wd",4,2008,6,"auto(l5)","4",14,20,"p","suv"
"82","nissan","pathfinder 4wd",5.6,2008,8,"auto(s5)","4",12,18,"p","suv"
"83","pontiac","grand prix",3.8,2008,6,"auto(l4)","f",18,28,"r","midsize"
"84","pontiac","grand prix",5.3,2008,8,"auto(s4)","f",16,25,"p","midsize"
"85","subaru","forester awd",2.5,2008,4,"manual(m5)","4",20,27,"r","suv"
"86","subaru","forester awd",2.5,2008,4,"manual(m5)","4",19,25,"p","suv"
"87","subaru","forester awd",2.5,2008,4,"auto(l4)","4",20,26,"r","suv"
"88","subaru","forester awd",2.5,2008,4,"auto(l4)","4",18,23,"p","suv"
"89","subaru","impreza awd",2.5,2008,4,"auto(s4)","4",20,25,"p","compact"
"90","subaru","impreza awd",2.5,2008,4,"auto(s4)","4",20,27,"r","compact"
"91","subaru","impreza awd",2.5,2008,4,"manual(m5)","4",19,25,"p","compact"
"92","subaru","impreza awd",2.5,2008,4,"manual(m5)","4",20,27,"r","compact"
"93","toyota","4runner 4wd",4,2008,6,"auto(l5)","4",16,20,"r","suv"
"94","toyota","4runner 4wd",4.7,2008,8,"auto(l5)","4",14,17,"r","suv"
"95","toyota","camry",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize"
"96","toyota","camry",2.4,2008,4,"auto(l5)","f",21,31,"r","midsize"
"97","toyota","camry",3.5,2008,6,"auto(s6)","f",19,28,"r","midsize"
"98","toyota","camry solara",2.4,2008,4,"manual(m5)","f",21,31,"r","compact"
"99","toyota","camry solara",2.4,2008,4,"auto(s5)","f",22,31,"r","compact"
"100","toyota","camry solara",3.3,2008,6,"auto(s5)","f",18,27,"r","compact"
"101","toyota","corolla",1.8,2008,4,"manual(m5)","f",28,37,"r","compact"
"102","toyota","corolla",1.8,2008,4,"auto(l4)","f",26,35,"r","compact"
"103","toyota","land cruiser wagon 4wd",5.7,2008,8,"auto(s6)","4",13,18,"r","suv"
"104","toyota","toyota tacoma 4wd",2.7,2008,4,"manual(m5)","4",17,22,"r","pickup"
"105","toyota","toyota tacoma 4wd",4,2008,6,"manual(m6)","4",15,18,"r","pickup"
"106","toyota","toyota tacoma 4wd",4,2008,6,"auto(l5)","4",16,20,"r","pickup"
"107","volkswagen","gti",2,2008,4,"manual(m6)","f",21,29,"p","compact"
"108","volkswagen","gti",2,2008,4,"auto(s6)","f",22,29,"p","compact"
"109","volkswagen","jetta",2,2008,4,"auto(s6)","f",22,29,"p","compact"
"110","volkswagen","jetta",2,2008,4,"manual(m6)","f",21,29,"p","compact"
"111","volkswagen","jetta",2.5,2008,5,"auto(s6)","f",21,29,"r","compact"
"112","volkswagen","jetta",2.5,2008,5,"manual(m5)","f",21,29,"r","compact"
"113","volkswagen","new beetle",2.5,2008,5,"manual(m5)","f",20,28,"r","subcompact"
"114","volkswagen","new beetle",2.5,2008,5,"auto(s6)","f",20,29,"r","subcompact"
"115","volkswagen","passat",2,2008,4,"auto(s6)","f",19,28,"p","midsize"
"116","volkswagen","passat",2,2008,4,"manual(m6)","f",21,29,"p","midsize"
"117","volkswagen","passat",3.6,2008,6,"auto(s6)","f",17,26,"p","midsize"
